subset,subset_name,family,image,miou,dice,pixel_acc,model_id,display_name,group,category,architecture,encoder,input_mode,params_m,train_seconds
6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (9).jpg,0.5462376628078286,0.6831023523877635,0.7804904513888888,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
6280-cast-iron-high,6280 Gray Cast Iron,Cast Iron,6280 x 20 (10).jpg,0.5954199773550066,0.7287499952343734,0.8115234375,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel  x 5 (3).jpg,0.4459988301552257,0.6111389070373356,0.6316189236111112,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (1).jpg,0.4085847899980321,0.5716896009554894,0.599853515625,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (2).jpg,0.4128667453901353,0.5790339157245632,0.5972764756944444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (4).jpg,0.4665363282259983,0.6360098289586292,0.6368815104166666,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 5 (5).jpg,0.4215154755750327,0.5794314954274444,0.6254340277777778,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (1).jpg,0.3936984852683622,0.5544795307594572,0.5885145399305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (2).jpg,0.4762435648600233,0.6426217928855262,0.6524522569444444,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (3).jpg,0.336731340800503,0.5037667873659972,0.50390625,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (4).jpg,0.3963538784508541,0.5672479050731034,0.5687391493055556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (5).jpg,0.3659552507788886,0.5347704949113103,0.5380859375,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
5884-armor-steel,5884 Armor Steel,Steel,armor steel x 10 (6).jpg,0.3303610535171929,0.4966140058011165,0.4967176649305556,dl_unet_r34,U-Net (ResNet34),general,encoder-decoder,Unet,resnet34,rgb,24.438109,16.993568658828735
